MapID.x,Area Name,White alone persons,Black or African-American alone persons,Native American alone persons,Asian alone persons,Pacific Islander alone persons,Other race alone persons,Persons of two or more race,Persons under 5 years,Persons 5-9 years,Persons 10-14 years,Persons 15-17 years,Persons 18 and 19 years,Persons 20 years,Persons 21 years,Persons 22-24 years,Persons 25-29 years,Persons 30-34 years,Persons 35-39 years,Persons 40-44 years,Persons 45-49 years,Persons 50-54 years,Persons 55-59 years,Persons 60 and 61 years,Persons 62-64 years,Persons 65 and 66 years,Persons 67-69 years,Persons 70-74 years,Persons 75-79 years,Persons 80-84 years,Persons 85 years and over,MapID.y,Male age at death under 28 days - 2011-13 Avg,Male age at death 1-12 months - 2011-13 Avg,Male age at death 1-4 years - 2011-13 Avg,Male age at death 5-9 years - 2011-13 Avg,Male age at death 10-14 years - 2011-13 Avg,Male age at death 15-19 years - 2011-13 Avg,Male age at death 20-24 years - 2011-13 Avg,Male age at death 25-29 years - 2011-13 Avg,Male age at death 30-34 years - 2011-13 Avg,Male age at death 35-39 years - 2011-13 Avg,Male age at death 40-44 years - 2011-13 Avg,Male age at death 45-49 years - 2011-13 Avg,Male age at death 50-54 years - 2011-13 Avg,Male age at death 55-59 years - 2011-13 Avg,Male age at death 60-64 years - 2011-13 Avg,Male age at death 65-69 years - 2011-13 Avg,Male age at death 70-74 years - 2011-13 Avg,Male age at death 75-79 years - 2011-13 Avg,Male age at death 80-84 years - 2011-13 Avg,Male age at death 85+ years - 2011-13 Avg,Female age at death under 28 days - 2011-13 Avg,Female age at death 1-12 months - 2011-13 Avg,Female age at death 1-4 years - 2011-13 Avg,Female age at death 5-9 years - 2011-13 Avg,Female age at death 10-14 years - 2011-13 Avg,Female age at death 15-19 years - 2011-13 Avg,Female age at death 20-24 years - 2011-13 Avg,Female age at death 25-29 years - 2011-13 Avg,Female age at death 30-34 years - 2011-13 Avg,Female age at death 35-39 years - 2011-13 Avg,Female age at death 40-44 years - 2011-13 Avg,Female age at death 45-49 years - 2011-13 Avg,Female age at death 50-54 years - 2011-13 Avg,Female age at death 55-59 years - 2011-13 Avg,Female age at death 60-64 years - 2011-13 Avg,Female age at death 65-69 years - 2011-13 Avg,Female age at death 70-74 years - 2011-13 Avg,Female age at death 75-79 years - 2011-13 Avg,Female age at death 80-84 years - 2011-13 Avg,Female age at death 85+ years - 2011-13 Avg,MapID,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous
NA,Bronx,295351,476525,8375,52462,706,551787,51579,107454,100908,98242,60827,42306,26691,24427,70779,116523,104501,94879,88903,95959,93733,80591,30009,38130,22843,28747,39522,29302,20296,21213,NA,33,10,0,0,0,14,50,54,65,67,122,193,297,387,436,441,413,430,439,721,27,6,0,0,0,2,6,16,14,48,75,139,201,250,278,321,373,445,554,1565,NA,21895,29333,11135,2510,4080,116,2203,831,271,47,212,2842,37,37,71,72,35,4,2017,8,20,567,9,819,173,562,146,562,167,1859,16,248,3870,450,193,210,476,412
NA,Brooklyn,1128927,871223,8730,304037,1001,225869,67065,193851,166770,154230,93518,56526,35020,34416,118826,243896,225031,189416,171510,160160,160158,150027,56864,79058,48676,56711,71850,54209,40679,45450,NA,40,19,2,0,4,24,70,90,88,106,164,287,412,556,676,672,719,811,872,1593,29,9,0,0,0,0,10,15,37,58,117,195,292,386,489,523,662,807,1057,3119,NA,60547,95657,35603,17338,8404,476,2535,2834,562,171,1206,5494,98,34,168,112,94,45,3510,16,39,2502,81,2189,193,1673,328,750,3268,18226,51,452,6954,1050,332,438,1835,1303
NA,Manhattan,928883,244787,6173,192573,946,192292,69335,82024,62937,59514,34880,37606,19019,20476,80910,198419,172294,127798,112153,105301,101282,93290,38919,52995,32515,40687,56803,39615,29875,35677,NA,10,0,0,0,0,4,16,22,26,41,67,139,205,273,376,411,453,512,587,1130,6,0,0,0,0,0,0,2,4,13,37,81,136,190,269,339,389,478,651,2208,NA,1994,1815,1482,1379,6811,2165,3655,183,9,12,28,866,536,57,94,46,67,114,894,18,2,1554,726,918,125,2265,213,318,2232,2602,104,147,1156,610,193,2352,3443,118
NA,Queens,936414,423451,8976,572759,1091,288733,78587,144634,127945,123991,76308,48034,30832,29112,98192,191403,184220,167804,160604,161311,164313,154210,57064,74181,46028,55891,72478,54970,41006,45480,NA,28,0,0,0,0,4,23,32,42,58,98,200,312,411,518,524,582,689,772,1456,15,2,0,0,0,0,2,4,13,14,43,99,163,242,307,350,432,600,862,2718,NA,154004,91041,23409,7755,2554,317,1269,2095,891,60,695,4809,140,31,75,106,46,19,3623,6,75,2273,11,1449,102,1687,292,672,863,9009,25,746,7775,593,299,40,986,604
NA,Staten Island,355407,48941,1134,38052,251,18584,10955,27420,29083,30516,18809,11114,6504,7014,18524,31798,29666,28694,33044,33939,35534,32894,12505,17459,10184,13118,16761,11215,8576,8953,NA,2,0,0,0,0,0,8,6,11,15,28,56,85,116,149,164,166,173,214,350,2,0,0,0,0,0,0,0,0,0,17,38,57,82,111,120,139,192,237,691,NA,74859,28183,848,509,127,112,61,336,19,18,50,1054,14,8,20,35,25,3,931,7,96,452,0,245,34,775,86,935,191,1187,48,278,6295,182,125,4,30,269
NA,New York City,3644982,2064927,33388,1159883,3995,1277265,277521,555383,487643,466493,284342,195586,118066,115445,387231,782039,715712,608591,566214,556670,555020,511012,195361,261823,160246,195154,257414,189311,140432,156773,NA,113,29,2,0,4,46,167,204,232,287,479,875,1311,1743,2155,2212,2333,2615,2884,5250,79,17,0,0,0,2,18,37,68,133,289,552,849,1150,1454,1653,1995,2522,3361,10301,NA,313299,246029,72477,29491,21976,3186,9723,6279,1752,308,2191,15065,825,167,428,371,267,185,10975,55,232,7348,827,5620,627,6962,1065,3237,6721,32883,244,1871,26050,2885,1142,3044,6770,2706
10001,10001 - Fur-Flower District,15563,1386,33,5277,0,432,733,666,535,498,355,808,288,413,1539,3249,3081,2022,2066,1616,1221,1418,481,543,320,676,520,619,289,202,10001,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,6,5,7,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4,5,9,32,10001,5,2,5,8,29,20,56,13,0,3,0,64,43,0,2,0,0,2,47,1,0,147,122,18,2,188,3,5,47,48,4,22,45,9,9,36,47,3
10002,10002 - Chinatown/Lower East Side,24539,6421,196,33103,11,10277,2821,2787,3139,3065,1967,1517,603,999,3407,7950,6438,5592,4925,5907,4887,4333,2142,3500,1692,1691,3442,2562,2124,2699,10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10002,8,5,4,17,531,1,109,11,0,0,4,43,24,3,4,4,3,2,90,0,0,126,82,62,9,41,9,44,83,124,12,2,47,23,9,110,59,5
10003,10003 - Cooper Square/Union Square,48166,2731,308,8315,9,1243,1953,1944,880,729,614,6696,1650,1133,3227,9621,7782,5178,3923,2979,3089,2992,996,2468,1065,1418,1367,1160,764,1048,10003,0,0,0,0,0,0,0,2,0,0,2,0,2,9,7,10,13,12,17,28,0,0,0,0,0,0,0,0,0,0,0,2,0,5,9,8,9,9,14,55,10003,56,61,33,64,399,83,133,3,0,0,0,21,35,7,14,6,6,17,33,0,0,56,31,44,11,99,16,9,113,170,0,3,12,51,7,104,182,3
10004,10004 - Battery/Governors Island,4024,135,0,1020,6,182,201,395,190,113,83,54,21,50,380,1081,988,734,456,328,213,219,52,71,35,17,46,15,18,8,10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10004,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,15,1,1,0,39,7,7,17,10,2,3,2,1,4,0,2,2
