MapID.x,Area Name,Male population,Female population,White alone persons,Black or African-American alone persons,Native American alone persons,Asian alone persons,Pacific Islander alone persons,Other race alone persons,Not Hispanic or Latino persons,Hispanic or Latino persons,Asian Indian persons,Bangladeshi persons,Bhutanese persons,Burmese persons,Cambodian persons,"Chinese persons, except Taiwanese",Filipino persons,Hmong persons,Indonesian persons,Japanese persons,Korean persons,Laotian persons,Malaysian persons,Mongolian persons,Nepalese persons,Okinawan persons,Pakistani persons,Sri Lankan persons,Taiwanese persons,Thai persons,Vietnamese persons,"Other Asian persons, specified","Other Asian persons, not specified",Persons of two or more Asian origins,Mexican persons,Puerto Rican persons,Cuban persons,Dominican (Dominican Republic) persons,Costa Rican persons,Guatemalan persons,Honduran persons,Nicaraguan persons,Panamanian persons,Salvadoran persons,Other Central American persons,Argentinean persons,Bolivian persons,Chilean persons,Colombian persons,Ecuadorian persons,Paraguayan persons,Peruvian persons,Uruguayan persons,Venezuelan persons,Other South American persons,Spaniard persons,Spanish persons,Spanish American persons,All other Hispanic or Latino persons,Persons of two or more race,Persons under 5 years,Persons 5-9 years,Persons 10-14 years,Persons 15-17 years,Persons 18 and 19 years,Persons 20 years,Persons 21 years,Persons 22-24 years,Persons 25-29 years,Persons 30-34 years,Persons 35-39 years,Persons 40-44 years,Persons 45-49 years,Persons 50-54 years,Persons 55-59 years,Persons 60 and 61 years,Persons 62-64 years,Persons 65 and 66 years,Persons 67-69 years,Persons 70-74 years,Persons 75-79 years,Persons 80-84 years,Persons 85 years and over,MapID.y,Male age at death under 28 days - 2011-13 Avg,Male age at death 1-12 months - 2011-13 Avg,Male age at death 1-4 years - 2011-13 Avg,Male age at death 5-9 years - 2011-13 Avg,Male age at death 10-14 years - 2011-13 Avg,Male age at death 15-19 years - 2011-13 Avg,Male age at death 20-24 years - 2011-13 Avg,Male age at death 25-29 years - 2011-13 Avg,Male age at death 30-34 years - 2011-13 Avg,Male age at death 35-39 years - 2011-13 Avg,Male age at death 40-44 years - 2011-13 Avg,Male age at death 45-49 years - 2011-13 Avg,Male age at death 50-54 years - 2011-13 Avg,Male age at death 55-59 years - 2011-13 Avg,Male age at death 60-64 years - 2011-13 Avg,Male age at death 65-69 years - 2011-13 Avg,Male age at death 70-74 years - 2011-13 Avg,Male age at death 75-79 years - 2011-13 Avg,Male age at death 80-84 years - 2011-13 Avg,Male age at death 85+ years - 2011-13 Avg,Female age at death under 28 days - 2011-13 Avg,Female age at death 1-12 months - 2011-13 Avg,Female age at death 1-4 years - 2011-13 Avg,Female age at death 5-9 years - 2011-13 Avg,Female age at death 10-14 years - 2011-13 Avg,Female age at death 15-19 years - 2011-13 Avg,Female age at death 20-24 years - 2011-13 Avg,Female age at death 25-29 years - 2011-13 Avg,Female age at death 30-34 years - 2011-13 Avg,Female age at death 35-39 years - 2011-13 Avg,Female age at death 40-44 years - 2011-13 Avg,Female age at death 45-49 years - 2011-13 Avg,Female age at death 50-54 years - 2011-13 Avg,Female age at death 55-59 years - 2011-13 Avg,Female age at death 60-64 years - 2011-13 Avg,Female age at death 65-69 years - 2011-13 Avg,Female age at death 70-74 years - 2011-13 Avg,Female age at death 75-79 years - 2011-13 Avg,Female age at death 80-84 years - 2011-13 Avg,Female age at death 85+ years - 2011-13 Avg,MapID,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous,borough,total_pop
10001,10001 - Fur-Flower District,12021,11404,15563,1386,33,5277,0,432,20510,2914,777,153,0,30,0,2081,208,0,0,368,1163,0,11,0,0,0,58,8,135,63,79,7,6,91,342,1114,187,272,13,24,58,0,6,21,0,102,7,14,110,183,0,32,0,57,0,227,42,0,103,733,666,535,498,355,808,288,413,1539,3249,3081,2022,2066,1616,1221,1418,481,543,320,676,520,619,289,202,10001,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,6,5,7,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4,5,9,32,10001,5,2,5,8,29,20,56,13,0,3,0,64,43,0,2,0,0,2,47,1,0,147,122,18,2,188,3,5,47,48,4,22,45,9,9,36,47,3,Manhattan,23425
10002,10002 - Chinatown/Lower East Side,37306,40063,24539,6421,196,33103,11,10277,57069,20300,861,289,0,0,27,29719,277,144,50,325,479,0,181,27,0,0,65,22,20,5,188,0,179,261,461,12022,189,4880,29,40,114,15,121,113,0,92,0,82,152,537,0,135,23,26,54,380,231,60,545,2821,2787,3139,3065,1967,1517,603,999,3407,7950,6438,5592,4925,5907,4887,4333,2142,3500,1692,1691,3442,2562,2124,2699,10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10002,8,5,4,17,531,1,109,11,0,0,4,43,24,3,4,4,3,2,90,0,0,126,82,62,9,41,9,44,83,124,12,2,47,23,9,110,59,5,Manhattan,77368
10003,10003 - Cooper Square/Union Square,30005,32720,48166,2731,308,8315,9,1243,57902,4823,1141,0,0,67,0,3556,472,0,52,852,1328,0,18,0,0,0,105,84,155,13,167,58,23,212,600,1787,262,174,15,21,112,1,0,181,27,213,0,57,168,109,8,215,0,65,10,193,0,0,605,1953,1944,880,729,614,6696,1650,1133,3227,9621,7782,5178,3923,2979,3089,2992,996,2468,1065,1418,1367,1160,764,1048,10003,0,0,0,0,0,0,0,2,0,0,2,0,2,9,7,10,13,12,17,28,0,0,0,0,0,0,0,0,0,0,0,2,0,5,9,8,9,9,14,55,10003,56,61,33,64,399,83,133,3,0,0,0,21,35,7,14,6,6,17,33,0,0,56,31,44,11,99,16,9,113,170,0,3,12,51,7,104,182,3,Manhattan,62723
10004,10004 - Battery/Governors Island,2759,2808,4024,135,0,1020,6,182,5019,548,292,4,0,4,0,372,4,0,0,86,159,0,0,0,0,0,24,0,41,0,8,0,11,15,159,148,12,40,7,1,6,0,0,0,0,10,9,3,13,25,1,18,0,23,0,46,6,0,20,201,395,190,113,83,54,21,50,380,1081,988,734,456,328,213,219,52,71,35,17,46,15,18,8,10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10004,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,15,1,1,0,39,7,7,17,10,2,3,2,1,4,0,2,2,Manhattan,5567
10005,10005 - Wall Street,3696,4139,5625,177,1,1696,0,198,7271,563,489,0,0,20,0,587,1,0,1,170,289,1,0,0,0,0,2,2,66,0,3,0,2,64,113,139,0,95,0,1,33,0,0,0,0,1,23,0,16,1,0,58,0,2,0,80,0,0,1,138,300,285,107,104,127,60,189,806,2213,1109,1158,497,227,211,196,7,70,46,0,81,39,0,1,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005,0,0,0,0,0,2,8,0,0,0,0,0,5,0,0,0,0,0,1,0,0,3,0,1,0,33,1,0,13,3,4,0,1,0,1,0,1,1,Manhattan,7833
10006,10006 - Trinity,1228,1721,2018,79,0,621,0,80,2542,408,223,0,0,0,0,156,0,0,0,31,129,0,0,0,0,0,25,0,44,0,14,0,0,0,147,70,19,28,15,0,0,0,0,0,0,0,0,0,0,11,0,12,0,34,0,50,0,0,22,151,209,30,52,47,0,0,14,348,640,677,285,195,184,64,144,27,21,0,0,11,0,0,0,10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,0,0,0,0,3,0,7,0,0,0,0,1,3,0,0,0,0,0,1,0,0,10,0,1,0,14,1,0,8,2,1,0,6,2,1,0,0,4,Manhattan,2948
10007,10007 - City Hall,4017,3611,5602,228,2,1399,0,45,7167,461,133,2,0,0,0,863,52,0,0,90,177,0,5,0,0,0,13,0,3,15,17,0,7,21,100,64,100,26,1,16,1,1,1,6,0,15,0,1,17,44,0,8,1,2,0,46,0,0,10,353,580,573,261,203,78,97,90,143,583,1131,653,854,691,379,340,269,192,54,154,72,97,75,57,10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10007,0,1,1,1,4,0,17,0,0,0,0,3,3,0,1,0,0,0,6,1,0,17,16,4,0,51,1,4,60,13,1,3,3,3,2,0,12,4,Manhattan,7626
10009,10009 - East Village/Stuyvesant Town,26886,33443,36272,5113,88,8155,67,8613,44679,15651,1141,0,0,0,0,4694,606,0,58,474,759,0,0,0,0,0,45,17,39,29,52,0,0,215,1068,9551,202,2785,0,20,14,0,148,34,25,73,0,71,185,199,0,244,29,108,24,429,141,0,300,2020,1592,1819,1725,1327,703,722,1179,3983,9144,6892,4291,3629,3833,3647,3877,1516,1990,1249,1292,2379,1303,1125,1112,10009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10009,7,10,11,33,339,10,140,9,0,1,1,13,0,0,5,2,0,2,23,0,0,21,5,37,11,4,6,14,60,96,2,6,103,13,4,228,123,3,Manhattan,60329
10010,10010 - Madison Square/Cooper Village,11130,11080,16751,1194,27,3440,0,305,19091,3119,760,0,20,0,0,1448,172,0,5,220,608,0,0,0,13,0,79,0,10,6,10,17,0,41,188,861,256,817,0,40,5,37,0,27,0,72,0,27,67,62,0,23,0,38,0,422,21,0,156,494,975,382,607,213,853,518,349,1514,3543,2594,1564,1208,1633,1183,1218,422,516,219,702,899,458,261,378,10010,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,5,7,10,27,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,6,6,9,10,45,10010,5,4,1,0,36,27,79,0,0,0,0,14,16,1,0,0,4,1,17,0,0,29,39,8,3,121,5,6,53,45,0,0,4,16,4,35,53,2,Manhattan,22209
10011,10011 - Chelsea,27698,26544,41861,3177,106,5794,2,1736,47709,6533,1025,40,0,0,0,2170,518,0,0,292,891,0,5,0,0,0,138,0,208,93,132,31,21,231,593,1823,333,1347,3,182,116,18,0,42,0,391,13,90,258,554,0,76,0,70,18,235,116,0,255,1566,1812,1855,1429,645,548,498,581,2468,6846,7365,4737,4538,3836,2592,3563,1688,1860,1155,1457,1780,1352,817,820,10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10011,125,88,85,111,192,73,132,15,0,0,1,25,21,0,2,0,3,5,43,0,0,93,75,27,10,83,12,10,182,199,5,4,13,38,7,138,261,4,Manhattan,54242
